# tau gt_up gt_dn
0 -0.5 -0.5
0.009 -0.49205 -0.49205
0.018 -0.484297 -0.484297
0.027 -0.476735 -0.476735
0.036 -0.469357 -0.469357
0.045 -0.462158 -0.462158
0.054 -0.455133 -0.455133
0.063 -0.448277 -0.448277
0.072 -0.441585 -0.441585
0.081 -0.435052 -0.435052
0.09 -0.428672 -0.428672
0.099 -0.422443 -0.422443
0.108 -0.416358 -0.416358
0.117 -0.410414 -0.410414
0.126 -0.404607 -0.404607
0.135 -0.398933 -0.398933
0.144 -0.393388 -0.393388
0.153 -0.387967 -0.387967
0.162 -0.382668 -0.382668
0.171 -0.377487 -0.377487
0.18 -0.372421 -0.372421
0.189 -0.367465 -0.367465
0.198 -0.362618 -0.362618
0.207 -0.357876 -0.357876
0.216 -0.353235 -0.353235
0.225 -0.348693 -0.348693
0.234 -0.344248 -0.344248
0.243 -0.339895 -0.339895
0.252 -0.335634 -0.335634
0.261 -0.331461 -0.331461
0.27 -0.327373 -0.327373
0.279 -0.323369 -0.323369
0.288 -0.319445 -0.319445
0.297 -0.315601 -0.315601
0.306 -0.311833 -0.311833
0.315 -0.308139 -0.308139
0.324 -0.304517 -0.304517
0.333 -0.300966 -0.300966
0.342 -0.297483 -0.297483
0.351 -0.294067 -0.294067
0.36 -0.290716 -0.290716
0.369 -0.287427 -0.287427
0.378 -0.2842 -0.2842
0.387 -0.281033 -0.281033
0.396 -0.277923 -0.277923
0.405 -0.27487 -0.27487
0.414 -0.271872 -0.271872
0.423 -0.268928 -0.268928
0.432 -0.266035 -0.266035
0.441 -0.263193 -0.263193
0.45 -0.260401 -0.260401
0.459 -0.257657 -0.257657
0.468 -0.25496 -0.25496
0.477 -0.252308 -0.252308
0.486 -0.249701 -0.249701
0.495 -0.247137 -0.247137
0.504 -0.244616 -0.244616
0.513 -0.242136 -0.242136
0.522 -0.239696 -0.239696
0.531 -0.237295 -0.237295
0.54 -0.234932 -0.234932
0.549 -0.232607 -0.232607
0.558 -0.230318 -0.230318
0.567 -0.228064 -0.228064
0.576 -0.225845 -0.225845
0.585 -0.22366 -0.22366
0.594 -0.221508 -0.221508
0.603 -0.219387 -0.219387
0.612 -0.217299 -0.217299
0.621 -0.21524 -0.21524
0.63 -0.213212 -0.213212
0.639 -0.211213 -0.211213
0.648 -0.209243 -0.209243
0.657 -0.2073 -0.2073
0.666 -0.205385 -0.205385
0.675 -0.203496 -0.203496
0.684 -0.201634 -0.201634
0.693 -0.199797 -0.199797
0.702 -0.197984 -0.197984
0.711 -0.196197 -0.196197
0.72 -0.194432 -0.194432
0.729 -0.192692 -0.192692
0.738 -0.190974 -0.190974
0.747 -0.189278 -0.189278
0.756 -0.187604 -0.187604
0.765 -0.185951 -0.185951
0.774 -0.18432 -0.18432
0.783 -0.182709 -0.182709
0.792 -0.181117 -0.181117
0.801 -0.179546 -0.179546
0.81 -0.177994 -0.177994
0.819 -0.17646 -0.17646
0.828 -0.174945 -0.174945
0.837 -0.173448 -0.173448
0.846 -0.171969 -0.171969
0.855 -0.170507 -0.170507
0.864 -0.169063 -0.169063
0.873 -0.167635 -0.167635
0.882 -0.166223 -0.166223
0.891 -0.164828 -0.164828
0.9 -0.163448 -0.163448
0.909 -0.162084 -0.162084
0.918 -0.160735 -0.160735
0.927 -0.159401 -0.159401
0.936 -0.158082 -0.158082
0.945 -0.156777 -0.156777
0.954 -0.155486 -0.155486
0.963 -0.154209 -0.154209
0.972 -0.152946 -0.152946
0.981 -0.151696 -0.151696
0.99 -0.150459 -0.150459
0.999 -0.149236 -0.149236
1.008 -0.148025 -0.148025
1.017 -0.146826 -0.146826
1.026 -0.14564 -0.14564
1.035 -0.144466 -0.144466
1.044 -0.143304 -0.143304
1.053 -0.142153 -0.142153
1.062 -0.141014 -0.141014
1.071 -0.139887 -0.139887
1.08 -0.13877 -0.13877
1.089 -0.137665 -0.137665
1.098 -0.13657 -0.13657
1.107 -0.135486 -0.135486
1.116 -0.134413 -0.134413
1.125 -0.13335 -0.13335
1.134 -0.132297 -0.132297
1.143 -0.131254 -0.131254
1.152 -0.130221 -0.130221
1.161 -0.129198 -0.129198
1.17 -0.128184 -0.128184
1.179 -0.12718 -0.12718
1.188 -0.126185 -0.126185
1.197 -0.125199 -0.125199
1.206 -0.124223 -0.124223
1.215 -0.123255 -0.123255
1.224 -0.122296 -0.122296
1.233 -0.121346 -0.121346
1.242 -0.120404 -0.120404
1.251 -0.119471 -0.119471
1.26 -0.118546 -0.118546
1.269 -0.11763 -0.11763
1.278 -0.116722 -0.116722
1.287 -0.115821 -0.115821
1.296 -0.114929 -0.114929
1.305 -0.114044 -0.114044
1.314 -0.113167 -0.113167
1.323 -0.112298 -0.112298
1.332 -0.111437 -0.111437
1.341 -0.110582 -0.110582
1.35 -0.109735 -0.109735
1.359 -0.108896 -0.108896
1.368 -0.108064 -0.108064
1.377 -0.107238 -0.107238
1.386 -0.10642 -0.10642
1.395 -0.105609 -0.105609
1.404 -0.104804 -0.104804
1.413 -0.104006 -0.104006
1.422 -0.103215 -0.103215
1.431 -0.102431 -0.102431
1.44 -0.101653 -0.101653
1.449 -0.100882 -0.100882
1.458 -0.100117 -0.100117
1.467 -0.0993583 -0.0993583
1.476 -0.0986059 -0.0986059
1.485 -0.0978597 -0.0978597
1.494 -0.0971197 -0.0971197
1.503 -0.0963857 -0.0963857
1.512 -0.0956578 -0.0956578
1.521 -0.0949357 -0.0949357
1.53 -0.0942196 -0.0942196
1.539 -0.0935092 -0.0935092
1.548 -0.0928046 -0.0928046
1.557 -0.0921057 -0.0921057
1.566 -0.0914124 -0.0914124
1.575 -0.0907247 -0.0907247
1.584 -0.0900426 -0.0900426
1.593 -0.0893659 -0.0893659
1.602 -0.0886946 -0.0886946
1.611 -0.0880286 -0.0880286
1.62 -0.087368 -0.087368
1.629 -0.0867126 -0.0867126
1.638 -0.0860624 -0.0860624
1.647 -0.0854174 -0.0854174
1.656 -0.0847775 -0.0847775
1.665 -0.0841426 -0.0841426
1.674 -0.0835128 -0.0835128
1.683 -0.0828879 -0.0828879
1.692 -0.0822679 -0.0822679
1.701 -0.0816527 -0.0816527
1.71 -0.0810424 -0.0810424
1.719 -0.0804369 -0.0804369
1.728 -0.0798361 -0.0798361
1.737 -0.07924 -0.07924
1.746 -0.0786485 -0.0786485
1.755 -0.0780616 -0.0780616
1.764 -0.0774793 -0.0774793
1.773 -0.0769015 -0.0769015
1.782 -0.0763282 -0.0763282
1.791 -0.0757594 -0.0757594
1.8 -0.0751949 -0.0751949
1.809 -0.0746348 -0.0746348
1.818 -0.074079 -0.074079
1.827 -0.0735274 -0.0735274
1.836 -0.0729802 -0.0729802
1.845 -0.0724371 -0.0724371
1.854 -0.0718982 -0.0718982
1.863 -0.0713635 -0.0713635
1.872 -0.0708328 -0.0708328
1.881 -0.0703062 -0.0703062
1.89 -0.0697837 -0.0697837
1.899 -0.0692651 -0.0692651
1.908 -0.0687505 -0.0687505
1.917 -0.0682398 -0.0682398
1.926 -0.067733 -0.067733
1.935 -0.0672301 -0.0672301
1.944 -0.066731 -0.066731
1.953 -0.0662357 -0.0662357
1.962 -0.0657442 -0.0657442
1.971 -0.0652564 -0.0652564
1.98 -0.0647723 -0.0647723
1.989 -0.0642918 -0.0642918
1.998 -0.0638151 -0.0638151
2.007 -0.0633419 -0.0633419
2.016 -0.0628723 -0.0628723
2.025 -0.0624062 -0.0624062
2.034 -0.0619437 -0.0619437
2.043 -0.0614847 -0.0614847
2.052 -0.0610291 -0.0610291
2.061 -0.060577 -0.060577
2.07 -0.0601283 -0.0601283
2.079 -0.0596829 -0.0596829
2.088 -0.0592409 -0.0592409
2.097 -0.0588023 -0.0588023
2.106 -0.0583669 -0.0583669
2.115 -0.0579348 -0.0579348
2.124 -0.057506 -0.057506
2.133 -0.0570804 -0.0570804
