# omega re(gw_up) im(gw_up) re(gw_dn) im(gw_dn)
0.0698132 -1.88569e-16 -0.0693252 -1.62883e-16 -0.0693252
0.20944 -2.17393e-16 -0.196978 -1.86309e-16 -0.196978
0.349066 -1.71444e-16 -0.297007 -1.33868e-16 -0.297007
0.488692 -1.30284e-16 -0.364093 -8.75965e-17 -0.364093
0.628319 -1.35257e-16 -0.402028 -8.90382e-17 -0.402028
0.767945 -1.24568e-16 -0.418333 -1.3148e-16 -0.418333
0.907571 -4.33129e-17 -0.420352 -4.86006e-17 -0.420352
1.0472 -4.45627e-17 -0.413736 -4.87124e-17 -0.413736
1.18682 -4.53146e-17 -0.402333 -4.86451e-17 -0.402333
1.32645 -1.79812e-17 -0.38858 -2.07064e-17 -0.38858
1.46608 -3.89993e-17 -0.373951 -4.12667e-17 -0.373951
1.6057 -2.51747e-17 -0.359297 -1.32106e-17 -0.359297
1.74533 -2.51288e-17 -0.345085 -2.67643e-17 -0.345085
1.88496 -3.19567e-17 -0.331553 -3.33696e-17 -0.331553
2.02458 -1.79264e-17 -0.318801 -1.91587e-17 -0.318801
2.16421 -3.8712e-18 -0.306852 -4.95506e-18 -0.306852
2.30383 3.25829e-18 -0.295685 2.29783e-18 -0.295685
2.44346 -3.48497e-18 -0.285259 -4.34177e-18 -0.285259
2.58309 -3.2899e-18 -0.275521 -4.05884e-18 -0.275521
2.72271 3.70227e-19 -0.266415 -3.23606e-19 -0.266415
2.86234 -9.85431e-18 -0.257889 -3.54457e-18 -0.257889
3.00197 -2.74005e-18 -0.249891 -3.3131e-18 -0.249891
3.14159 4.36491e-18 -0.242374 3.84081e-18 -0.242374
3.28122 -2.41761e-18 -0.235295 -2.89874e-18 -0.235295
3.42085 -2.27098e-18 -0.228617 -2.71419e-18 -0.228617
3.56047 -2.13393e-18 -0.222304 -2.54351e-18 -0.222304
3.7001 4.93278e-18 -0.216327 4.55315e-18 -0.216327
3.83972 -1.88712e-18 -0.210658 4.69894e-18 -0.210658
3.97935 1.69299e-18 -0.205273 1.36422e-18 -0.205273
4.11898 -1.67362e-18 -0.200149 -1.9807e-18 -0.200149
4.2586 5.3608e-18 -0.195268 5.07335e-18 -0.195268
4.39823 1.98009e-18 -0.190611 1.71044e-18 -0.190611
4.53786 5.53196e-18 -0.186164 5.27851e-18 -0.186164
4.67748 2.13911e-18 -0.181911 1.90045e-18 -0.181911
4.81711 2.21031e-18 -0.17784 5.45463e-18 -0.17784
4.95674 -1.19292e-18 -0.17394 -1.40562e-18 -0.17394
5.09636 2.33816e-18 -0.170199 2.13688e-18 -0.170199
5.23599 -1.07388e-18 -0.166608 -1.26464e-18 -0.166608
5.37561 2.44908e-18 -0.163158 2.26804e-18 -0.163158
5.51524 2.499e-18 -0.159841 2.32696e-18 -0.159841
5.65487 4.28033e-18 -0.156649 4.11664e-18 -0.156649
5.79449 4.32389e-18 -0.153575 4.16795e-18 -0.153575
5.93412 4.36463e-18 -0.150614 4.21591e-18 -0.150614
6.07375 2.66806e-18 -0.147758 2.52607e-18 -0.147758
6.21337 2.70381e-18 -0.145004 2.5681e-18 -0.145004
6.353 4.47207e-18 -0.142344 4.34223e-18 -0.142344
6.49262 4.50355e-18 -0.139775 4.37922e-18 -0.139775
6.63225 4.53314e-18 -0.137293 4.41397e-18 -0.137293
6.77188 -6.43193e-19 -0.134892 -7.57521e-19 -0.134892
6.9115 1.11774e-18 -0.13257 1.00797e-18 -0.13257
7.05113 1.14244e-18 -0.130322 1.03695e-18 -0.130322
7.19076 2.90045e-18 -0.128146 2.79901e-18 -0.128146
7.33038 2.92245e-18 -0.126037 2.82482e-18 -0.126037
7.47001 1.2085e-18 -0.123993 1.11448e-18 -0.123993
7.60964 1.22816e-18 -0.122011 1.13755e-18 -0.122011
7.74926 2.98148e-18 -0.120088 2.8941e-18 -0.120088
7.88889 1.26438e-18 -0.118222 1.18005e-18 -0.118222
8.02851 3.01581e-18 -0.116411 2.93438e-18 -0.116411
8.16814 3.03166e-18 -0.114652 2.95298e-18 -0.114652
8.30777 1.31199e-18 -0.112942 1.23593e-18 -0.112942
8.44739 2.19365e-18 -0.111281 2.12008e-18 -0.111281
8.58702 4.72531e-19 -0.109666 4.01327e-19 -0.109666
8.72665 2.2202e-18 -0.108095 2.15125e-18 -0.108095
8.86627 2.23253e-18 -0.106566 2.16573e-18 -0.106566
