# omega re(sw_up) im(sw_up) re(sw_dn) im(sw_dn)
0.0698132 2 -0.0310113 2 -0.0310113
0.20944 2 -0.0926327 2 -0.0926327
0.349066 2 -0.153068 2 -0.153068
0.488692 2 -0.211582 2 -0.211582
0.628319 2 -0.267518 2 -0.267518
0.767945 2 -0.320319 2 -0.320319
0.907571 2 -0.369544 2 -0.369544
1.0472 2 -0.41487 2 -0.41487
1.18682 2 -0.456096 2 -0.456096
1.32645 2 -0.493128 2 -0.493128
1.46608 2 -0.525976 2 -0.525976
1.6057 2 -0.554729 2 -0.554729
1.74533 2 -0.579546 2 -0.579546
1.88496 2 -0.600636 2 -0.600636
2.02458 2 -0.618243 2 -0.618243
2.16421 2 -0.632634 2 -0.632634
2.30383 2 -0.644085 2 -0.644085
2.44346 2 -0.652874 2 -0.652874
2.58309 2 -0.659273 2 -0.659273
2.72271 2 -0.663544 2 -0.663544
2.86234 2 -0.665932 2 -0.665932
3.00197 2 -0.666667 2 -0.666667
3.14159 2 -0.665958 2 -0.665958
3.28122 2 -0.663999 2 -0.663999
3.42085 2 -0.660963 2 -0.660963
3.56047 2 -0.657006 2 -0.657006
3.7001 2 -0.652266 2 -0.652266
3.83972 2 -0.646868 2 -0.646868
3.97935 2 -0.64092 2 -0.64092
4.11898 2 -0.634519 2 -0.634519
4.2586 2 -0.627749 2 -0.627749
4.39823 2 -0.620684 2 -0.620684
4.53786 2 -0.613387 2 -0.613387
4.67748 2 -0.605914 2 -0.605914
4.81711 2 -0.598314 2 -0.598314
4.95674 2 -0.590629 2 -0.590629
5.09636 2 -0.582893 2 -0.582893
5.23599 2 -0.575137 2 -0.575137
5.37561 2 -0.567389 2 -0.567389
5.51524 2 -0.559669 2 -0.559669
5.65487 2 -0.551997 2 -0.551997
5.79449 2 -0.544389 2 -0.544389
5.93412 2 -0.536857 2 -0.536857
6.07375 2 -0.529413 2 -0.529413
6.21337 2 -0.522066 2 -0.522066
6.353 2 -0.514824 2 -0.514824
6.49262 2 -0.507691 2 -0.507691
6.63225 2 -0.500672 2 -0.500672
6.77188 2 -0.493772 2 -0.493772
6.9115 2 -0.486992 2 -0.486992
7.05113 2 -0.480335 2 -0.480335
7.19076 2 -0.473801 2 -0.473801
7.33038 2 -0.467391 2 -0.467391
7.47001 2 -0.461104 2 -0.461104
7.60964 2 -0.454941 2 -0.454941
7.74926 2 -0.4489 2 -0.4489
7.88889 2 -0.442981 2 -0.442981
8.02851 2 -0.437181 2 -0.437181
8.16814 2 -0.4315 2 -0.4315
8.30777 2 -0.425936 2 -0.425936
8.44739 2 -0.420486 2 -0.420486
8.58702 2 -0.415148 2 -0.415148
8.72665 2 -0.409921 2 -0.409921
8.86627 2 -0.404803 2 -0.404803
9.0059 2 -0.39979 2 -0.39979
9.14553 2 -0.394882 2 -0.394882
9.28515 2 -0.390075 2 -0.390075
9.42478 2 -0.385367 2 -0.385367
9.5644 2 -0.380757 2 -0.380757
9.70403 2 -0.376241 2 -0.376241
9.84366 2 -0.371818 2 -0.371818
9.98328 2 -0.367485 2 -0.367485
10.1229 2 -0.363241 2 -0.363241
10.2625 2 -0.359082 2 -0.359082
10.4022 2 -0.355008 2 -0.355008
10.5418 2 -0.351015 2 -0.351015
10.6814 2 -0.347102 2 -0.347102
10.821 2 -0.343266 2 -0.343266
10.9607 2 -0.339507 2 -0.339507
11.1003 2 -0.335822 2 -0.335822
11.2399 2 -0.332208 2 -0.332208
11.3795 2 -0.328665 2 -0.328665
11.5192 2 -0.325191 2 -0.325191
11.6588 2 -0.321783 2 -0.321783
11.7984 2 -0.31844 2 -0.31844
11.9381 2 -0.315161 2 -0.315161
12.0777 2 -0.311943 2 -0.311943
12.2173 2 -0.308786 2 -0.308786
12.3569 2 -0.305687 2 -0.305687
12.4966 2 -0.302646 2 -0.302646
12.6362 2 -0.299661 2 -0.299661
12.7758 2 -0.29673 2 -0.29673
12.9154 2 -0.293852 2 -0.293852
13.0551 2 -0.291027 2 -0.291027
13.1947 2 -0.288251 2 -0.288251
13.3343 2 -0.285525 2 -0.285525
13.4739 2 -0.282847 2 -0.282847
13.6136 2 -0.280217 2 -0.280217
13.7532 2 -0.277631 2 -0.277631
13.8928 2 -0.275091 2 -0.275091
